text,created_at,retweet_count,favorite_count,is_retweet
RT @GreggJarrett: Newly Revealed Docs Support Flynn’s Innocence: Case Against Him Should Be Tossed https://t.co/ZnfzZ91Vuy,4/28/2020 13:58,15442,0,TRUE
But I love Diamond &amp; Silk and so do millions of people! https://t.co/RBX9bmFIwH,4/28/2020 13:57,25271,112879,FALSE
RT @WhiteHouse: 45 days ago business leaders joined President @realDonaldTrump in the Rose Garden to help launch a new critical partnersh…,4/28/2020 13:53,8159,0,TRUE
Texas to open businesses in phases beginning Friday. Great job being done by @GregAbbott_TX,4/28/2020 13:42,26228,148314,FALSE
Many States moving to SAFELY &amp; QUICKLY reopen!,4/28/2020 13:38,32978,215054,FALSE
We are doing far more and better Testing than any other country in the world and yet the media does nothing but complain. No matter how good a job is done the same as with the Ventilators they will never say we are doing a great job they will only viciously gripe!,4/28/2020 12:06,38654,220802,FALSE
RT @TheCounter: First there is no shortage of meat destined for the grocery store shelf. It might take stores longer than usual to resto…,4/28/2020 11:40,7016,0,TRUE
RT @realDonaldTrump: https://t.co/12Lv2yr07h,4/28/2020 2:56,18047,0,TRUE
RT @Jim_Jordan: Attorney General Barr’s Memo to U.S. Attorneys: “The Constitution is not suspended in times of crisis.” The Attorney Ge…,4/28/2020 2:55,21991,0,TRUE
Because Shifty is a crooked politician! https://t.co/bYkaJmy4Yj,4/28/2020 2:54,29812,114662,FALSE
RT @realDonaldTrump: FAKE NEWS THE ENEMY OF THE PEOPLE!,4/28/2020 2:50,81178,0,TRUE
RT @realDonaldTrump: There has never been in the history of our Country a more vicious or hostile Lamestream Media than there is right no…,4/28/2020 2:50,47587,0,TRUE
RT @realDonaldTrump: Blame the Democrats for any “lateness” in your Enhanced Unemployment Insurance. I wanted the money to be paid directly…,4/28/2020 2:50,43752,0,TRUE
RT @realDonaldTrump: So true!,4/28/2020 2:50,27189,0,TRUE
RT @WhiteHouse: President @realDonaldTrump's plan for Opening Up America Again outlined a three-phased approach based on the advice of publ…,4/27/2020 23:24,7119,0,TRUE
https://t.co/12Lv2yr07h,4/27/2020 22:59,18047,81569,FALSE
"RT @WhiteHouse: ""We're doing everything in our power to heal the sick and to gradually reopen our Nation."" https://t.co/xEapbkT6hd",4/27/2020 22:59,7921,0,TRUE
RT @WhiteHouse: As one American family we grieve with those who have suffered the loss of loved ones. https://t.co/qhoX0OP0Ol,4/27/2020 22:58,6950,0,TRUE
RT @WhiteHouse: LIVE: President @realDonaldTrump holds a news conference https://t.co/K1T3F5RpnM,4/27/2020 21:39,7001,0,TRUE
I will be having a White House Press Conference today at 5:30 P.M. Thank you!,4/27/2020 20:58,16139,127728,FALSE
Why should the people and taxpayers of America be bailing out poorly run states (like Illinois as example) and cities in all cases Democrat run and managed when most of the other states are not looking for bailout help? I am open to discussing anything but just asking?,4/27/2020 14:41,47064,219124,FALSE
FAKE NEWS THE ENEMY OF THE PEOPLE!,4/27/2020 13:48,81178,402382,FALSE
There has never been in the history of our Country a more vicious or hostile Lamestream Media than there is right now even in the midst of a National Emergency the Invisible Enemy!,4/27/2020 13:41,47587,217395,FALSE
Blame the Democrats for any “lateness” in your Enhanced Unemployment Insurance. I wanted the money to be paid directly they insisted it be paid by states for distribution. I told them this would happen especially with many states which have old computers.,4/27/2020 12:20,43752,177554,FALSE
So true! https://t.co/fyJgDBuKzM,4/27/2020 1:42,27189,136309,FALSE
RT @realDonaldTrump: I never said the pandemic was a Hoax! Who would say such a thing? I said that the Do Nothing Democrats together with…,4/27/2020 1:41,58219,0,TRUE
RT @realDonaldTrump: The people that know me and know the history of our Country say that I am  the hardest working President in history. I…,4/27/2020 1:41,51720,0,TRUE
RT @SilERabbit: Sloppy Joe is trending. I wonder if it's because of this. You can tell it's a deep fake because Jill Biden isn't covering f…,4/27/2020 1:25,14134,0,TRUE
RT @EricTrump: Article should have read: Trump as businessman had a passive non-controlling/managing interest in an office building which…,4/27/2020 1:18,21191,0,TRUE
RT @BarbaraRedgate: Devin Nunes-“Why is General Flynn Important? Because He Was Framed By His Own Government!!” #HumanScum @DevinNunes @Gen…,4/27/2020 1:14,23125,0,TRUE
RT @JessieJaneDuff: Despite Democrats resistance to help small businesses President @realDonaldTrump will get the economy going and Americ…,4/27/2020 1:13,6171,0,TRUE
RT @JessieJaneDuff: Lefty holier than thou Media Matters founder David Brock who spends millions targeting President Trump is accused of…,4/27/2020 1:13,9401,0,TRUE
RT @InsurancePlanX: Democrats are not sending us their bestor are they😜,4/27/2020 1:12,5999,0,TRUE
RT @dbongino: Here’s what serial fraudster &amp; generational corruptocrat Nancy Pelosi was REALLY up to when the Wuhan Virus was raging &amp; th…,4/27/2020 1:11,13217,0,TRUE
RT @seanhannity: Report: FBI Knew McCain Leaked Steele Dossier Now Blames Coronavirus For Not Releasing Documents https://t.co/wtFdcyO8UY,4/27/2020 1:10,12614,0,TRUE
RT @dbongino: Former NSC Chief of Staff Says John Brennan Hid Evidence Putin Favored Hillary in 2016 🔥🔥🔥https://t.co/2Ffod309BZ,4/27/2020 1:09,13469,0,TRUE
RT @RealCandaceO: You’re a racist radical communist that wants to expand government control and dependency— and you are using the plight o…,4/27/2020 1:08,12097,0,TRUE
RT @GOPChairwoman: Once again Nancy Pelosi is lying about her needless delay.She stood in front of her fancy refrigerator and congratula…,4/27/2020 1:06,16270,0,TRUE
RT @SecondLady: Wishing you a very special birthday @FLOTUS. Happy Birthday! 🥳🎂,4/27/2020 1:06,6796,0,TRUE
American citizens! We were long ahead of Dems who were all against the BAN. https://t.co/SQOLi46tEf,4/27/2020 1:06,16225,62026,FALSE
RT @johncardillo: Three failed coup attempts:1 - Russia Collusion hoax during campaign2 - Mueller's sham 3 - Illegitimate impeachment…,4/27/2020 1:03,11770,0,TRUE
RT @MariaBartiromo: Breaking News: sources tell me @GenFlynn will be completely exonerated this week.  It was a total fraud.  A Set up.  Mo…,4/27/2020 1:02,47119,0,TRUE
Great! https://t.co/YxWd5QJpga,4/27/2020 0:59,11937,54471,FALSE
RT @LindaSuhler: Dear GodThank you for answering our prayers.A grateful Nation#GodBlessAmerica🇺🇸 #PresidentTrump #ElectionDay https://…,4/27/2020 0:37,67220,0,TRUE
RT @TeamTrump: WATCH: Team Trump Online with @CLewandowski_ Rep. @MattGaetz and Rep. @EliseStefanik! #TeamTrumpText TRUMP to 88022 http…,4/27/2020 0:33,4471,0,TRUE
RT @realDonaldTrump: Remember the Cure can’t be worse than the problem itself. Be careful be safe use common sense!,4/27/2020 0:33,60064,0,TRUE
RT @GOPChairwoman: From Day 1 Gretchen Whitmer has been too focused on politics.Case in point: She just claimed she is “not getting invo…,4/27/2020 0:32,8829,0,TRUE
They are one of the worst in the “news” business. Total slime balls! https://t.co/puXf1ldMTS,4/27/2020 0:22,14328,56887,FALSE
They asked me to be at West Point on June 13th. &amp; I will be there! https://t.co/NFHItMBbKy,4/27/2020 0:19,13486,57825,FALSE
"RT @WhiteHouse: ""All of American society is engaged and mobilized in the war against the invisible enemy. While we must remain vigilant it…",4/27/2020 0:15,7501,0,TRUE
RT @GOPChairwoman: We’re seeing enthusiasm like this all across the country. Thank you to all the @realDonaldTrump supporters who pitched i…,4/27/2020 0:15,6332,0,TRUE
Laura just another Fake News Report! https://t.co/Kya7NViNRB,4/27/2020 0:14,10068,44364,FALSE
Does anybody get the meaning of what a so-called Noble (not Nobel) Prize is especially as it pertains to Reporters and Journalists? Noble is defined as “having or showing fine personal qualities or high moral principles and ideals.” Does sarcasm ever work?,4/26/2020 22:54,32646,177094,FALSE
Reports that H.H.S. Secretary @AlexAzar is going to be “fired” by me are Fake News. The Lamestream Media knows this but they are desperate to create the perception of chaos &amp; havoc in the minds of the public. They never even called to ask. Alex is doing an excellent job!,4/26/2020 21:53,23222,92441,FALSE
....fraud @donnabrazile (and others who are even worse). Chris Wallace is nastier to Republicans than even Deface the Nation or Sleepy Eyes. The people who are watching @FoxNews in record numbers (thank you President Trump) are angry. They want an alternative now. So do I!,4/26/2020 21:21,17508,70251,FALSE
....Even the Radical Left Do Nothing Democrats laughed at the Fox suggestion. No respect for the people running @FoxNews. But Fox keeps on plugging to try and become politically correct. They put RINO Paul Ryan on their Board. They hire “debate questions to Crooked Hillary”....,4/26/2020 21:21,13730,56260,FALSE
.@FoxNews just doesn’t get what’s happening! They are being fed Democrat talking points and they play them without hesitation or research. They forgot that Fake News @CNN &amp; MSDNC wouldn’t let @FoxNews participate even a little bit in the poor ratings Democrat Debates.....,4/26/2020 21:21,24106,97685,FALSE
....Lawsuits should be brought against all including the Fake News Organizations to rectify this terrible injustice. For all of the great lawyers out there do we have any takers? When will the Noble Committee Act? Better be fast!,4/26/2020 18:37,12529,49443,FALSE
....to the REAL REPORTERS &amp; JOURNALISTS who got it right. I can give the Committee a very comprehensive list. When will the Noble Committee DEMAND the Prizes back especially since they were gotten under fraud? The reporters and Lamestream Media knew the truth all along....,4/26/2020 18:37,11143,46238,FALSE
When will all of the “reporters” who have received Noble Prizes for their work on Russia Russia Russia only to have been proven totally wrong (and in fact it was the other side who committed the crimes) be turning back their cherished “Nobles” so that they can be given....,4/26/2020 18:37,18708,72148,FALSE
....schedule and eating habits written by a third rate reporter who knows nothing about me. I will often be in the Oval Office late into the night &amp; read &amp; see that I am angrily eating a hamburger &amp; Diet Coke in my bedroom. People with me are always stunned. Anything to demean!,4/26/2020 18:28,19449,98332,FALSE
I work from early in the morning until late at night haven’t left the White House in many months (except to launch Hospital Ship Comfort) in order to take care of Trade Deals Military Rebuilding etc. and then I read a phony story in the failing @nytimes about my work....,4/26/2020 18:28,30215,151990,FALSE
The people that know me and know the history of our Country say that I am  the hardest working President in history. I don’t know about that but I am a hard worker and have probably gotten more done in the first 3 1/2 years than any President in history. The Fake News hates it!,4/26/2020 18:21,51711,289563,FALSE
....schedule and eating habits written by a third rate reporter who knows nothing about me. I will often be in the Oval Office late into the night &amp; read &amp; see that I am angrily eating a hamberger &amp; Diet Coke in my bedroom. People with me are always stunned. Anything to demean!,4/26/2020 18:17,2686,11701,FALSE
I work from early in the morning until late at night haven’t left the White House in many months (except to launch Hospital Ship Comfort) in order to take care of Trade Deals Military Rebuilding etc. and then I read a phony story in the failing @nytimes about my work.....,4/26/2020 18:17,3611,14772,FALSE
.@CardinalDolan  Thank you for a great call yesterday with Catholic Leaders and a great Service today from @StPatsNYC!,4/26/2020 17:42,9606,54766,FALSE
.@CardinalDolan  Thank you for a great call yesterday with Catholic Leaders and a great Service today from @stpatrickscath!,4/26/2020 16:11,4727,25892,FALSE
Happy Birthday to Melania our great First Lady!,4/26/2020 16:06,65221,581459,FALSE
Had a great call with Catholic Leaders and Educators earlier today. I will be online tomorrow at 10:15 A.M. (Eastern) for Sunday Mass celebrated by @CardinalDolan at St. Patrick’s Cathedral (@StPatsNYC) in New York City. Join me: https://t.co/pTZMmBF9hb https://t.co/iQy5iH5Lk6,4/26/2020 1:06,17356,82664,FALSE
I never said the pandemic was a Hoax! Who would say such a thing? I said that the Do Nothing Democrats together with their Mainstream Media partners are the Hoax. They have been called out &amp; embarrassed on this even admitting they were wrong but continue to spread the lie!,4/25/2020 22:23,58207,281426,FALSE
Remember the Cure can’t be worse than the problem itself. Be careful be safe use common sense!,4/25/2020 22:17,60152,334550,FALSE
What is the purpose of having White House News Conferences when the Lamestream Media asks nothing but hostile questions &amp; then refuses to report the truth or facts accurately. They get record ratings &amp; the American people get nothing but Fake News. Not worth the time &amp; effort!,4/25/2020 22:01,53472,244307,FALSE
Was just informed that the Fake News from the Thursday White House Press Conference had me speaking &amp; asking questions of Dr. Deborah Birx. Wrong I was speaking to our Laboratory expert not Deborah about sunlight etc. &amp; the CoronaVirus. The Lamestream Media is corrupt &amp; sick!,4/25/2020 20:30,42115,193361,FALSE
If the Wall Street Journal “Editorial” writers had called as they should have they would have easily found that I was “NOT happy with the Georgia Governor on Tuesday night.” You said the opposite and got it wrong as you often do!,4/25/2020 15:59,23289,112043,FALSE
The Do Nothing Democrats are spending much of their money on Fake Ads. I never said that the CoronaVirus is a “Hoax” I said that the Democrats and the way they lied about it are a Hoax. Also it did start with “one person from China” and then grew &amp; will be a “Miracle” end!,4/25/2020 15:06,34055,143479,FALSE
We have now Tested more than 5 Million People. That is more than any other country in the World and even more than  all major countries combined!,4/25/2020 14:57,28726,166857,FALSE
It is a wonderful feeling to know that our States are loaded up with Ventilators many brand new and high quality just off of our production lines and that we are now in a position to help other countries that so desperately need them. Every person needing a Ventilator got one!,4/25/2020 14:51,23364,125952,FALSE
Just spoke to Prime Minister Abiy Ahmed Ali of Ethiopia. His Country needs Ventilators and the U.S. is in good position to help him. We will!,4/25/2020 14:10,27410,183487,FALSE
RT @CDCgov: States tribal local &amp; territorial officials: Resources are available to help quickly identify new #COVID19 cases break chai…,4/25/2020 13:08,4154,0,TRUE
RT @CDCgov: Tribal leaders: You can help safeguard your communities from #COVID19 during funerals and burials. Actions like social distanci…,4/25/2020 13:07,3378,0,TRUE
RT @CDCgov: New COVID-NET data reported more than 6000 #COVID19 hospitalizations. Of these almost 2000 had race/ethnicity info. When com…,4/25/2020 13:05,3382,0,TRUE
RT @CDCgov: Adults age 65+ and those with underlying health conditions are at higher risk for severe illness from #COVID19. Learn more in t…,4/25/2020 13:05,3764,0,TRUE
RT @CDCgov: Looking for #CDC #COVID19 resources for sharing on social media? CDC’s social media toolkit provides free sample messages and g…,4/25/2020 13:05,2769,0,TRUE
RT @HHSGov: As @Surgeon_General explains telemedicine doesn't just help providers deliver care during the #COVID19 outbreak – it can also…,4/25/2020 13:04,3979,0,TRUE
RT @NIH: Plasma is the liquid part of blood. Ppl who have recovered from #COVID19 may have antibodies (proteins the immune system makes aft…,4/25/2020 13:04,4966,0,TRUE
RT @CDCgov: We’re still learning about how #COVID19 affects animals but it appears that people can spread the virus to animals in some sit…,4/25/2020 13:04,4423,0,TRUE
RT @DepSecHargan: ICYMI: Last week @VP announced that the administration is encouraging patients who have fully recovered from #COVID-19 to…,4/25/2020 13:03,3500,0,TRUE
RT @CDCgov: The latest #COVIDView report shows that adults 65 and older are experiencing the highest rates of #COVID19-associated hospitali…,4/25/2020 13:02,3092,0,TRUE
RT @CDCgov: Feeling sick? Answer a few questions about your symptoms using Clara CDC’s #Coronavirus Self-Checker to help you decide if yo…,4/25/2020 13:02,2942,0,TRUE
RT @CDCgov: Household cleaners and disinfectants can cause health problems when not used properly. Follow the instructions on the product l…,4/25/2020 13:01,7285,0,TRUE
Many testing sites are and have been open &amp; available. Just passed 5 Million Tests far more than any other country in the world. In fact more than all other major countries combined! Don’t believe the Fake News! https://t.co/uTSMAvj7R3,4/25/2020 12:59,11318,42173,FALSE
Thank you to the people of Colorado for the warm and gracious notes and letters sent to me for all of the Ventilators we got for you. It was my great honor! @SenCoryGardner,4/25/2020 12:45,17940,112372,FALSE
.@TripleH is a total winner! https://t.co/KsTHMEKeqx,4/25/2020 12:20,20570,105133,FALSE
Thank you to William Perry Pendley of the Bureau of Land Management. Great job on @TuckerCarlson describing some of the most beautiful land in the world! @FoxNews,4/25/2020 12:14,11202,57730,FALSE
RT @CDCgov: The latest CDC #COVIDView report with new hospitalization data on race/ethnicity by age is now available https://t.co/zP4VYlo0P…,4/25/2020 12:12,3420,0,TRUE
RT @CDCgov: If you have diabetes you are at higher risk for getting seriously ill from #coronavirus. Learn how you can take steps to prote…,4/25/2020 12:12,3753,0,TRUE
RT @WhiteHouse: LIVE: Press Briefing with Coronavirus Task Force https://t.co/mLfPSV05Lj,4/24/2020 21:39,7476,0,TRUE
I will be having a White House Press Conference today at 5:30 P.M. Thank you!,4/24/2020 20:51,13732,107487,FALSE
https://t.co/x8Yguxf4Ks,4/24/2020 20:13,9232,47558,FALSE
I will never let our Post Office fail. It has been mismanaged for years especially since the advent of the internet and modern-day technology. The people that work there are great and we’re going to keep them happy healthy and well!,4/24/2020 19:08,31321,179828,FALSE
RT @HouseGOP: 🚨 President Trump just signed the Paycheck Protection Program and Health Care Enhancement Act to empower American families w…,4/24/2020 17:02,8149,0,TRUE
RT @FinancialCmte: #BREAKING: President @RealDonaldTrump just signed legislation to support America’s #SmallBiz with additional #PPPLoans.…,4/24/2020 17:02,6336,0,TRUE
RT @SenateGOP: ✓ SIGNEDPresident @realdonaldtrump just signed Phase 3.5 of coronavirus relief legislation into law!Here's what it inclu…,4/24/2020 17:02,5871,0,TRUE
Great conversation with President Lenin Moreno of the Republic of Ecuador. We will be sending them desperately needed Ventilators of which we have recently manufactured many and helping them in other ways. They are fighting hard against CoronaVirus!,4/24/2020 14:59,17008,82226,FALSE
RT @realDonaldTrump: Getting VERY good reviews of the job the Federal Government is doing on CoronaVirus. Ventilators building hospitals…,4/24/2020 14:59,21808,0,TRUE
Just spoke to President Juan Orlando Hernandez of the Republic of Honduras. We work closely together on the Southern Border. Will be helping him with his request for Ventilators and Testing.,4/24/2020 14:59,14443,75760,FALSE
Great conversation with President Lenin Moreno of the Republic of Equador. We will be sending them desperately needed Ventilators of which we have recently manufactured many and helping them in other ways. They are fighting hard against CoronaVirus!,4/24/2020 14:56,170,743,FALSE
Great News! Randall Stephenson the CEO of heavily indebted AT&amp;T which owns and presides over Fake News @CNN is leaving or was forced out. Anyone who lets a garbage “network” do and say the things that CNN does should leave ASAP. Hopefully replacement will be much better!,4/24/2020 14:49,34758,133547,FALSE
I (or @VP) never gave Governor Brian Kemp an OK on those few businesses outside of the Guidelines. FAKE NEWS! Spas beauty salons tattoo parlors &amp; barber shops should take a little slower path but I told the Governor to do what is right for the great people of Georgia (&amp; USA)!,4/24/2020 14:40,17291,79707,FALSE
Just spoke to President Nayib Bukele of El Salvador. Will be helping them with Ventilators which are desperately needed. They have worked well with us on immigration at the Southern Border!,4/24/2020 14:20,17949,98203,FALSE
Just spoke to my friend President Joko Widodo of the Republic of Indonesia. Asking for Ventilators which we will provide. Great cooperation between us!,4/24/2020 14:12,25312,131865,FALSE
Great conversation with President Lenin Moreno of the Republic if Equador. We will be sending them desperately needed Ventilators of which we have recently manufactured many and helping them in other ways. They are fighting hard against CoronaVirus!,4/24/2020 13:59,5271,23878,FALSE
Our Country wants to move safely forward. There is a tremendous pent up demand. We will open big!,4/24/2020 13:53,27973,166939,FALSE
The Fake and totally corrupt News is after her as a means of getting to me. She’s smart and strong knows the truth. Already a heroine to many! https://t.co/HMpXOEdgSA,4/24/2020 13:46,19110,65567,FALSE
RT @GeraldoRivera: If--as @VP tells me on our radio interview this morning--the worst is behind us &amp; entire epidemic will be largely behind…,4/24/2020 13:42,5920,0,TRUE
RT @GOPChairwoman: We have a decision as to who will restore our economy after this pandemic. @realDonaldTrump has already done it once…,4/24/2020 13:40,10546,0,TRUE
RT @realDonaldTrump: Important news!,4/24/2020 13:39,20569,0,TRUE
Getting VERY good reviews of the job the Federal Government is doing on CoronaVirus. Ventilators building hospitals beds and yes Testing have been handled incredibly well. Testing is getting exponentially better every day. Love seeing our Country safely opening up!,4/24/2020 13:38,21814,111997,FALSE
RT @DonaldJTrumpJr: After the pandemic passes and we can fire up our economic engine I’m truly looking forward to watching @realDonaldTrump…,4/24/2020 4:30,28229,0,TRUE
Important news! https://t.co/4dmVvJ4IM6,4/24/2020 4:29,20574,100298,FALSE
RT @CLewandowski_: Thank you @realDonaldTrump for forcing Harvard to return the money.  I never get tired of winning!,4/24/2020 4:28,8470,0,TRUE
RT @Mike_Pence: Yesterday I had the privilege of visiting @GEHealthcare in Wisconsin to see American industry and American workers at thei…,4/24/2020 4:28,6064,0,TRUE
RT @seanhannity: In retrospect every democrat &amp; everyone in the media mob needs to be asked if .@realDonaldTrump ‘s travel ban 10 days afte…,4/24/2020 4:27,7563,0,TRUE
RT @GOPChairwoman: “At a time when many Americans are enduring significant economic challenges this bill will help small business and keep…,4/24/2020 4:20,5860,0,TRUE
RT @Mike_Pence: President @realDonaldTrump &amp; the entire Admin are pleased at the passage of the Paycheck Protection Program in the House. I…,4/24/2020 4:18,5698,0,TRUE
Disgraceful. Should join the Republican Party! https://t.co/HMpXOEdgSA,4/24/2020 4:17,22885,82626,FALSE
Governor @JimJusticeWV is a tremendous fighter for the incredible people of West Virginia. Big Jim is strong on Life the Second Amendment and Building the Wall! With Governors like Jim America will recover and get back to business. Jim has my Complete and Total Endorsement!,4/23/2020 23:54,14446,64732,FALSE
Congressman @SteveStivers is doing a terrific job for the People of Ohio! He defends our Borders Supports our Veterans Strong on Crime and the Second Amendment. Steve has my Complete and Total Endorsement!https://t.co/iX0VBJ44sT,4/23/2020 23:35,7872,30147,FALSE
Congressman Bill Posey is a tremendous fighter for the Great State of Florida. He is a big supporter of our #MAGA Agenda – Strong on Crime the Second Amendment and Loves our Veterans and Law Enforcement. Bill has my Complete and Total Endorsement!,4/23/2020 23:34,14748,67883,FALSE
Congressman @MikeTurnerOH is a strong supporter and fighter for the People of Ohio! He will help us #MAGA! He’s Strong on the Border Tough on Crime will Protect our Vets and our GREAT Second Amendment. Mike has my Complete and Total Endorsement! https://t.co/tIKPOJmZR7,4/23/2020 23:32,7330,27204,FALSE
Congressman @Troy_Balderson is doing a GREAT job for the People of Ohio! He will always Protect your #2A Defend our Borders and Support Small Business – a great supporter of the #MAGA Agenda. Troy has my Complete and Total Endorsement! https://t.co/ybcfR5rOOd,4/23/2020 23:28,6934,25806,FALSE
